 #time     Pmom      T        EK        V_LJ        Et
   0.0000000000000000        193.64916731037084        100.00000000000000        18750.000000000000        6.9462318509956467E-310   18750.000000000000     
   9.9999997473787516E-003   191.90255360873971        98.204240217480617        18413.295040777615       -225.05630217301976        18188.238738604596     
   1.9999999494757503E-002   174.60978232827145        81.302869559270178        15244.288042363160        2943.9740291944499        18188.262071557609     
   2.9999999242136255E-002   176.15019169111275        82.743706754175378        15514.445016407884        2673.7107477574473        18188.155764165331     
   3.9999998989515007E-002   176.12622302589699        82.721190499648046        15510.223218684008        2677.9976231733831        18188.220841857390     
   4.9999998736893758E-002   178.43490550401120        84.904041339267877        15919.507751112727        2268.7433676089167        18188.251118721644     
   5.9999998484272510E-002   181.05441235034300        87.415200617408033        16390.350115764006        1797.8725098409645        18188.222625604969     
   6.9999998231651261E-002   178.40394157976081        84.874576989852599        15913.983185597363        2274.2544303669397        18188.237615964303     
   7.9999997979030013E-002   178.56768709751196        85.030450334279763        15943.209437677457        2245.0010629985545        18188.210500676010     
   8.9999997726408765E-002   180.91830377551713        87.283820376027435        16365.716320505144        1822.4791849044284        18188.195505409571     
   9.9999997473787516E-002   180.52443086269085        86.904187035462485        16294.535069149215        1893.6766923671541        18188.211761516370     
  0.10999999722116627        181.73734750044122        88.075902603989675        16514.231738248065        1674.0054946537184        18188.237232901782     
  0.11999999696854502        179.63582506765988        86.050745727303763        16134.514823869456        2053.6788557907430        18188.193679660199     
  0.12999999671592377        179.02104029696270        85.462754317351283        16024.266434503366        2163.9110283347200        18188.177462838088     
  0.13999999646330252        179.22498421659307        85.657586579834785        16060.797483719023        2127.3983358590076        18188.195819578032     
  0.14999999621068127        178.13184405252025        84.615876974803712        15865.476932775695        2322.7284821610419        18188.205414936736     
  0.15999999595806003        183.21138979745467        89.510435604039714        16783.206675757447        1405.0111309607728        18188.217806718218     
  0.16999999570543878        180.25628842832245        86.646212047878862        16246.164758977286        1942.0526646502117        18188.217423627499     
  0.17999999545281753        177.49041187021396        84.007590148955131        15751.423152929088        2436.7939880407548        18188.217140969842     
  0.18999999520019628        175.16413792850815        81.819933909966437        15341.237608118707        2847.0169280102091        18188.254536128916     
  0.19999999494757503        177.52322048841705        84.038650166877744        15757.246906289578        2430.9528327784997        18188.199739068077     
  0.20999999469495378        176.93226153655951        83.480067126510633        15652.512586220742        2535.7086824103130        18188.221268631056     
  0.21999999444233254        179.67981440984133        86.092895216946786        16142.417853177523        2045.8128995255684        18188.230752703093     
  0.22999999418971129        179.27182041354882        85.702361585033884        16069.192797193853        2119.0538305160767        18188.246627709930     
  0.23999999393709004        177.45833349772229        83.977227007436881        15745.730063894416        2442.5288086600594        18188.258872554477     
  0.24999999368446879        175.52443624561451        82.156873918242127        15404.413859670398        2783.8048991094365        18188.218758779833     
  0.25999999343184754        181.81576338793121        88.151924843563137        16528.485908168088        1659.7105259890598        18188.196434157147     
  0.26999999317922629        180.28169439202418        86.670638220957912        16250.744666429608        1937.4869958109805        18188.231662240589     
  0.27999999292660505        178.45732053214587        84.925374004034907        15923.507625756545        2264.5902176526693        18188.097843409214     
  0.28999999267398380        179.38930626229831        85.814728536716387        16090.261600634321        2097.9574604023551        18188.219061036678     
  0.29999999242136255        180.61849008176711        86.994770558446390        16311.519479708697        1876.6920315723096        18188.211511281006     
  0.30999999216874130        176.04393698282496        82.643913995767591        15495.733874206422        2692.4107180509900        18188.144592257413     
  0.31999999191612005        179.76405480418146        86.173641065708608        16157.557699820365        2030.6777967973990        18188.235496617763     
  0.32999999166349880        181.03741734804746        87.398790613469671        16387.273240025563        1800.9139057314694        18188.187145757031     
  0.33999999141087756        178.20086268680859        84.681459899527511        15877.773731161409        2310.4464511246701        18188.220182286081     
  0.34999999115825631        180.86527808374242        87.232663510158488        16356.124408154716        1832.0647282927387        18188.189136447454     
  0.35999999090563506        179.17461681768532        85.609448831371623        16051.771655882179        2136.4040179974845        18188.175673879665     
  0.36999999065301381        177.82519780709768        84.324802600355810        15810.900487566714        2377.3520700825793        18188.252557649292     
  0.37999999040039256        179.14717299241937        85.583225576468962        16046.854795587931        2141.3273634252323        18188.182159013162     
  0.38999999014777131        175.63775489262312        82.262989183256465        15424.310471860586        2763.8699721223093        18188.180443982896     
  0.39999998989515007        179.32506472227826        85.753276900398092        16078.739418824642        2109.4811116190790        18188.220530443719     
  0.40999998964252882        180.54442387929060        86.923437317079873        16298.144496952476        1890.0712835176084        18188.215780470084     
  0.41999998938990757        175.24685647353806        81.897228543618340        15355.730351928438        2832.5298138550188        18188.260165783457     
  0.42999998913728632        181.47076393224518        87.817701765740424        16465.819081076330        1722.3770078178111        18188.196088894139     
  0.43999998888466507        177.77745621899678        84.279530505859512        15802.411969848657        2385.7492832630546        18188.161253111713     
  0.44999998863204382        181.00092451044154        87.363559129692220        16380.667336817291        1807.5654789584707        18188.232815775762     
  0.45999998837942258        180.12432405251357        86.519392307666408        16222.386057687452        1965.8600778301120        18188.246135517566     
  0.46999998812680133        183.91601741163672        90.200270561486604        16912.550730278737        1275.6510667314260        18188.201797010162     
  0.47999998787418008        179.78234974875997        86.191182083161252        16160.846640592734        2027.3966578620718        18188.243298454807     
  0.48999998762155883        180.87978375053919        87.246656452378247        16358.748084820922        1829.4772592514944        18188.225344072416     
  0.49999998736893758        178.94478563363779        85.389963481249666        16010.618152734312        2177.6105261855255        18188.228678919837     
  0.50999998711631633        178.52875568946931        84.993377621413885        15936.258304015102        2251.9398097600501        18188.198113775154     
