   3771121255934.2002                    121000
   11313363767802.602                         0
   18855606279671.000                      2002
   26397848791539.402                         2
   33940091303407.801                         0
   41482333815276.203                         0
   49024576327144.602                         0
   56566818839013.000                         0
   64109061350881.406                         0
   71651303862749.797                         0
   79193546374618.203                         0
   86735788886486.609                         0
   94278031398355.000                         0
   101820273910223.41                         0
   109362516422091.81                         0
   116904758933960.20                         0
   124447001445828.61                         0
   131989243957697.00                         0
   139531486469565.41                         0
   147073728981433.81                         0
